,댓글,혐오여부
1466,ㅋㅋㅋㅋㅋㅋㅋㅋㄱㄱㄱㅋㅋㅋㄱㄱㅋㅋㅋㄱ내심 한 년도 없을까봐 걱정했노 한남특수학교 다니느라 고생많노. 역시 보지대장 아니랄까봐 ㅋㅋㅋㅋㄱ,
1467,한남대 벌써 두년이나 나왔노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 봊나 대단한 년들이다 이기야,
1468,웃챙 ㅎㅍㅋㅋㅋㅋㅋㅋ,
1469,한남대웜년 기다리고있었노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,
1470,맞노 한남대가 최고노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 간 보다가 박멸해라이기 ,
1471,워추다 이기ㅋㅋㅋㅋㅋㅋㅋㅋㅌ,
1472,봊나 멋지노 ㅋㅋㅋㅋㅋㅋㅋ,
1473,진정한 참지식인 아니노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1474,진정한 참지식인 아니노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1475,진정한 참지식인 아니노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1476,진정한 참지식인 아니노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1477,진정한 참지식인 아니노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1478,ㅋㅋㅋㅋㅋㅋㅋ니가 최고다 익이야 ㅋㅋㅋ,
1479,ㅋㅋㅋㅋㅋㅋㅋ니가 최고다 익이야 ㅋㅋㅋ,
1480,한남대ㅋㅋㅋㅋㅋㅋ봊멋이노 이기,
1481,퍄 ㅋㅋㅋㅋㅋㅋㅋㅋ 이년이년 진정한 사탄이놐ㅋㅋㅋㅋㅋㅋ,
1482,웜의 승리자노 ㅋㅋㅋㅋㅋㅋ좆팔 ㅋㅋㅋ한남대 한남 와꾸 어떻노? ,
1483,한남대는 워추다 이기,
1484,킄ㅋㅋㄱㅋㄱㅋㅋㅋㅋㅋ진정한 웜년은 너년이노,
1485,한남대웜년 나올 때마다 웃챙이노ㅋㅋㅋㅋㄱㄱㄱ ㄱ,
1486,조팔 글쓴웜년이랑 댓글웜년들 재치에 웃챙되부렸노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한남식 개그프로그램 다 없애고 웜년들이 자리 차지하면 세상 웃음이 넘쳐나겠노,
1487,주인공왔노 기받아간다이기야,
1488,ㅋㅋㅋㅋㅋㅋㅋㅋ왔노 니가 승자다이기야,
1489,레드카펫깔아라ㅋㅋㅋㄱㄲㅋㄱㅋㅋㅋㅋㅋㅋㄱㅋ 이년이 진짜웜년이놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1490,ㅋㅋㅋㅋㅋㅋㅋ진정 웜년 VIP노 드립력에 워추다,
1491,참대학 이노 이기 ㅋㅋㅋ,
1492,워친년ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ워추박고가노,
1493,한남대 다니는 한남은 참한남 아니노ㅋㅋㅋ,
1494,레드카펫 깔아라 이기야ㅋㅋㅋㅋㅋㅋㅋㅋㅋvvip 중에서도 vvip노,
1495,조팔 웃고간다이기야,
1496,ㅋㅋㅋㅋㅋㅋㅋ동문이노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1497,ㅋㅋㅋㅋㅋㅋㅋ한녀대는없나이기,
1498,ㅋㅋㅋㅋㅋㅋㅋ 참웜년이놐ㅋㅋㅋㅋ,
1499,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭔가했노,
1500,한남대 ㅋㅋㅋㅋ봊나 웃챙이노. ,
1501,한남ㅋ,
1502,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋMVP나왔다이기ㅋㅋㅋㅋㅋㅋㅋ워추박았노,
1503,한남대 봊나 웃기노 ㅋㅋㅋㅋㅋ 저 주변 지나가면서 저기 다니는 사람들 기분이상하겠노 생각했는데 웜년도 다니노 ㅋㅋㅋㅋㅋ,
1504,저거 어떻게 이기노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1505,한남대 다니는 자지들 재기하기 쉬우라고 학교에 재기실 있는거 진짜노??,
1506,조팔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 허벌웃음지뢰놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1507,ㅋㅋㅋㅋㄱㅋㅋ 워추박고 가노ㅋㅋㄱㅋㅋ 웜상이 짱이다 이기,
1508,한남생태학 마스터년 와뿟노ㅋㅋㅋㅋㅋ,
1509,ㅋㅋㅋㅋㅋㅋㄲㅋㅋㅋㅋㅋ웃챙되뿟노ㅋㅋㅋㅋㅋ너무 웃어가지고 한순간 재기 만날 뻔 했노ㅋㅋㅋㅋㅋㅋㅋ,
1510,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ머단하노,
1511,대단하노 이기ㅋㅋㅋ,
1512,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1513,한남머 한남 살남하느라 고생했다 이기야ㅋㅋㅋ,
1514,한남대ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 한남 더힐길만 걷길 바라노ㅋㅋㅋㅋ,
1515,진짜가 나왔노 ㅋ,
1516,껄껄 놈딱 윾쾌하노,
1517,좆팔 한남대 ㅋㅋㅋㅋㅋㅋ,
1518,봊웃기노ㅋㄱㅂㅂㄱㅋㅋㅋㅋ,
1519,ㅋㅋㅋㅋㄱ워추 무조건 박고감 ㅋㅋㅋㅋㅋㅋㄱㅋ,
1520,정리정돈은 워추노 앵 정성이노이기ㅋㅋㅋㅋㅋ 고생많았노이기야,
1521,"후팔 스크롤이 끝이 없놐ㅋㅋㅋㅋ
",
1522,후팔 이걸 다 정리했노ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 인증글만 120개가 넘노ㅋㅋㅋㅋㅋ,
1523,정리꿘은 워추야 ,
1524,이거보고 관잦놈들 앵 쫄아서 자살하겠노 글로 한남충 죽인거 축하한다이기야^노^,
1525,워추누르려고 스크롤내리느라 고생했노ㅋㅋㅋㅋ,
1526,워마드에 능력있는 보지들이 이렇게나 많노. 정리하느라 고생했다이기.,
1527,정성글 앵 나오노 ㅇㅊ 백만개 준다이기야,
1528,283 오류있던걸 수정했는데 새로고침해도 안되면 말해줘라이기,
1529,https://m.womad.life/251022 (서울예대) 넣어달라 이기 세계로 뻗어나가는 예술꿘될꺼다이기야 정리 워추다,
1530,802 이제 잘되노 고생많았다이기야,
1531,정리는 워추야!,
1532,한번에 웜의실체를 볼수있게해놨노 워추감이다 이기,
1533,"통계 자료까지 능력있는 년이 한번 해줬으면 좋겠노 ㅋㅋ
워마드 회원 대비 서울대 몇 명 하버드대 몇 명 이렇게 해서 숫마드랑 비교했으면 좋겠노 껄껄
숫마드는 회원 수부터가 워마드랑 비교도 못한다 아니노? 10배 넘는 걸로 아는데, 한중일미국유럽 명문대 웜년들이 싹 다 쓸어버렸노. ",
1534,정리꿘은 워추야 ^문^,
1535,"484 웜리가또 순서맞춰서 34번에 추가했노
553 정리는 내가했으니 통계내줄년도 구하노ㅋㅋㅋ",
1536,"앗 내가 할려고 했는데 민기적 거리느라 바톤 가져가뿟노 껄껄
수고 많았노. 글 스크랩하노 . 지우지 말라이기. 가끔 이거 보면서 야망 불 태울거노. ",
1537,정리꿘은 워추야 ㅋㅋㅋㅋㅋㅋ 이렇게 다들 보풍당당한 인증행열 열리니 한남소추부랄 쪼그라들게 기쁘다이기야,
1538,좆팔 42개라길래 내렸는데 끝이없노ㅋㅋㅋㅋㅋㅋ 역시 웜은 지능순이다이기 봊간지노 여자답고 멋있노,
1539,"전직 통베충인데 숫마드는 외국사이트에 있는 인증글로 주작한 것도 존나 많음 그래서 세는건 무의미 그나마 ㄹㅇ 찐인증글들생각해보면 국내머학은 숫마드 자체가 인원이 훨씬 많다보니까 국내머학 인증글들도 숫마드가 워마드보다 많은데외국머학 하버드같은 건 워마드가 숫마드랑 수가 비슷해서 놀랬다 이기 그만큼 워마드에 인재가
많이 몰리는것 같다 이기",
1540,아 동문만나니 흥분되노. 살남욕 드릉드릉하노 깔깔 조심해라 냄져들아,
1541,https://m.womad.life/251128 흑석동 등판한 중웜대 내글이 없노 ,
1542,ㅋㅋㅋㅋㅋ웜년이 이렇게나 많다 한남들아 ^느^ 으디 냄져가 머학을 다니려고 드노,
1543,워추 박는다이기,
1544,정리정돈은 워추다이기,
1545,384 추가했노 웜리가또 60번에 있노,
1546,워추다이기! 깔끔하노,
1547,정리꿘은 워추야. 동경대 웜년글 본거 같은데 다시 찾아보고 와야겠노 ,
1548,"정리꿘 워추했노 이기
http://www.womad.life/l/640859
ㄴ이 글 인증플로우 스타트끊은 카이스트년 글이노",
1549,아니 도대체 인증글이 몇개노 ㅋㅋㅋㅋ 정말 워마드는 어디에나 있노,
1550,96번 인증글 실수로 지워서 https://m.womad.life/251375?page=1 로 재업했다 이기 바꿔달라,
1551,73 431 수정했노,
1552,으따 나도 곧 올리겠노^오^,
1553,https://m.womad.life/251258 지잡대(충북대) 인증한 거 잊지말아달라 이기야,
1554,ㄴ 101번에 있노 안빠뜨렸노 ^곰^,
1555,앵나 오지노... 야망보지 힘주러 간다 이기야,
1556,업데이트 봊나 빠르노 정리꿘련 고맙다,
1557,이거 각종 커뮤로 뻗어나갔음 좋겠다이기,
1558,워마드 홍보자료로 노무딱 좋겠노,
1559,ㅋㅋㅋㅋㅋㅋㅋㅋ본나 깔끔하노 고맙다 이기,
1560,와따 전세계 점령했노 보지뽕찬다!!,
1561,내 글도 있노 봊나 뿌듯,
1562,100명이 넘어뿟노ㅋㅋㅋㅋ단스단스,
1563,정성에 고마울 뿐이노 ,
1564,웜년들때매 미래가 밝다 이기야,
1565,역시 보지가 머리가 좋다 이기 ,
1566,업데이트 앵 빠르노이기ㅋㅋㅋㅋㅋㅋㅋㅋ,
1567,정리꿘 ㅇㅊ다 이기야 포털 열어서 워추라기 하러 가노,
1568,딱 하루 바빠서 워마드 못봤는데 이게 무슨일이노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1569,와 봊멋이노 웜년들아 다 먹어뿟노 ㅋㅋㅋㅋㅋㅋㅋㅋ,
1570,보지뽕차서 69시간째 웜창 웜에서 나갈 수가 없는데 이 년 인증글 올라오면 바로바로 업뎃해주노 정리 노무딱 고맙노 부지런한 년이노,
1571,실시간이노 ㅋㅋ앵나온다 정성 ㅇㅊ노,
1572,링크가 끝이 없노ㅋㅋㅋㅋㅋ정리하느라 수고했다 이기야,
1573,정리하느라 고생했다이기ㅋㅋㅋㅋㅋㅋㅋㅋ 내려도내려도 끝이 없노,
1574,정리하느라 고생했다이기ㅋㅋㅋㅋㅋㅋㅋㅋ 내려도내려도 끝이 없노,
1575,정리하느라 고생했다이기ㅋㅋㅋㅋㅋㅋㅋㅋ 내려도내려도 끝이 없노,
1576,정리글은 웜추노 이기,
1577,"나의 발돋움판이노
하루에 한번씩 보면서 야망을 꿈꾸고 실현시키겠노
정상에서 보자 웜년들아 ^느^
난 공부하러 가노 바 용 가 ",
1578,야망보지들 힘조 정상에서 만나자 이기,
1579,실시간 업뎃 속도보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 정성꿘이라 워추더주고싶노 ,
1580,글쓴년아 95번 정시합격 쓴년이다 연세대를 서울대로 수정해주면 노무현 고맙겠노,
1581,정리글은 웜추다 이기,
1582,워마드는 지능순이다 ^문^,
1583,와 죠팔 워마드 웜년 몇명이나 있다고 능력보지가 끝없이 나오노? 역시 워마드는 지능순이다 이기야.,
1584,후팔 한꼬집웜년들 다 왜 이리대단하노 보르텔은 시간문제다이기야,
1585,끝이 없놐ㅋㅋㅋㅋㅋ자댕이들 자들거리는 소리 들리노 그럴 만도 하노 한줌 워마드에 이렇게 인재가 많으니ㅋㅋㅋㅋㅋ,
1586,실활동인원 1000여명중에 인증만 200명가까이가 되노 좆팔 ㅋㅋㅋㅋㅋㅋㅋ 노무 멋있노,
1587,저리꿘은 워추노. 글찌느라 수고했노. 그리고 운영자님 글주소 복사 기능 앵나 편리하노. 항상 고맙노,
1588,정리꿘은 아묻따 워추노,
1589,84 수정했노,
1590,정리꿘은 닥추노,
1591,고맙다 이기야 생각 날 때 마다 들어오겠노,
1592,"서웜대 인증하러 들어왔는데 댓글 69개 아직 못 써서 못 하노 ㅋㅋㅋ 주로 트위터 하는데 웜련들한테 항상 많이 배운다 이기야ㅋㅋㅋ 고맙노
서웜대 가서 후려치기만 당하고 인생에 도움 안 된 것 같고 한남 동기들 볼 비위 없어서 다 절교해서 서웜대 간 거 후회하고 있고 서웜대 한남 뻘짓 들을 때마다 쪽팔리고 짜증만 나는데 간만에 여자들한테 인정받는 것 같아서 기뻤노 서웜대 가든 말든(웬만하면 탈조해라) 보지들 다 화이팅하고 정상에서 만나자",
1593,여윽시 웜은 지능순이다 이기야 ㅋㅋㅋㅋ아따 스크롤 길다이기,
1594,웜년은 어디에나 있고 어디에도 없노 깔깔깔,
1595,"https://m.womad.life/l/652172
빠졌노. 추가앙망.",
1596,ㄴ 216번 확인해라이기 있노,
1597,이년 봊나 수고하노. 잘보고있다이기,
1598,정리꿘은 워추노,
1599,무족권 워추노 고생했노,
1600,"이걸 다 정리했노
스크롤 계속 내려가서 놀랐다 이기야 ㅋㅋㅋㅋ",
1601,ㅋㅋㅋ이거는 볼수록 봊멋이노 ㅋㅋ,
1602,멋잇노 이기 힘주라이기!,
1603,정리꿘 워추노 ,
1604,웜년들 봊나 멋있노 뇌가 소추에 달린 자댕이들이랑은 격이 다르다이기야,
1605,능력있는 보지들이 이렇게 많노 멋있다 이기 정리 고맙노,
1606,스크롤이끝이없노 닥워추다이기야,
1607,정리봊ㅇㅊ노,
1608,워추노,
1609,봊간지노 이기,
1610,워추 주노 익이,
1611,놈딱 고생했노. 덕분에 다시 마음 다잡고 간다이기야. 정상에서 보자,
1612,능력있는 보지들 떄문에 미래가 밝노,
1613,앱친 봊나멋지노,
1614,6억ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ6억 시부랄거ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ현금화 된 돈이 6억ㅋㅋㅋㅋㅋㅋㅋ저거 일원단위까지 맞춰져있는거보면 안쓰는 통장이라는 말인데 관잦들 부랄 쪼그라들다못해 밤마다 이거 보면서 울겠노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나 다음으로 중요한게 돈이다이기 흐엉흐어어엉 워마드 이년들 돈도없고 남자한테 사랑도 못받는년들하더니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ6억 봊나 간지난다이기야,
1615,봊멋이노 보토피아 건설 힘조라 이기 나도 경찰쪽에서 힘쓰겠노,
1616,봊간지노ㅋㅋㅋㅋㅋㅋㅋㅋ이년아 같이 힘줘서 보르텔 만들자 이니,
1617,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ소소하다니 통한번 큰년이노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ윾쾌한년,
1618,와씨 봊멋이노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한남들 자기보다 돈 많다고 자들지들 거릴게 놈딱 보이노ㅋㅋㅋ,
1619,봊간지다이깈ㅋㅋㅋ,
1620,이년보다 돈 없는 자댕이들은 각성해라 여자보다 돈 더 많이 받는 주제에 육억 없노? 다 어디다 쓰노? 페이강간하러 다니니까 돈이 없지 ㅋㅋ 봊멋이노 너 ㅋㅋㅋㅋ,
1621,보르텔 기업 꼭 세워라 그때를 기다리겠다이기,
1622,조팔 여자라는 이유로 앵나 후려쳐지고 능력 디스카운트 당하고 자댕이 월급 60%밖에 못받는데 6억 모은거면 이년 능력은 얼마나 쩌는거노? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 한남이었으면 100억은 모았겠노 아 한남충은 그럴만한 능력이 안되지 ㅋ,
1623,6억9천 찍어라 이기야. 한남돈 다 쓸어 담아라 이기. ,
1624,"워마드 씌앙년들.. 우리는 돈 한남좆도 없고 폰팔이 후장팔이 좆백수 인생패배자들인데,, 쒸앙년들.. 재기하러갈꺼다 애비뒤질 년들아!!",
1625,차키인증할 웜상없노? ,
1626,뭘해도 될 년이노 응원한다 이기,
1627,봊간지 터진다 캬,
1628,멋진년 ㅋㅋ 보르텔 기업 만들면 마케팅 담당은 나다 이기야. 포트폴리오랑 cv 봊멋인 년 있으면 바로 나다 ㅋㅋ 이왕 기업에서 일할거 보지기업에서 내 재능 써주는게 좋은 일 아니노. 그때까지 역량 키우고 스펙 쌓고 있겠다 이기야. 그 보르텔 기업 제품이든 서비스든 지구상에 존재하는 모든 인간들이 그 기업 제품과 서비스에 끌리도록 할 자신 있노 그럼 바용가 ,
1629,616 차키 인증 봊나멋지겠노 ㅋㅋㅋㅋ,
1630,ㅋㅋㅋㅋ오늘 내 첫 워추는 니년한테 준다이기야 ㅋㅋㅋㅋㅋㅋㅋㅋ 보르텔기업 기다린다이기,
1631,안쓰는 통장에 6억 정도는 가지고 있는 거노? 멋지노 ,
1632,봊멋이노,
1633,키야 봊멋이노 나도 빨리 69억 모을 때 가지 힘조야겠다이기,
1634,캬 나도 몇년안에 10억찍을거노 기다려라이기야,
1635,봊나 소소하노 야망 다지고 간다 이기야,
1636,ㅁㅊ 금수저봊이노 와 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 보통 저정도 금액이면 40 50대 부부가 부동산까지 끌어모아야 가능한데ㅋㅋㅋㅋ,
1637,ㅋㅋㅋㅋㅋㅋ워친ㅋㅋㅋㅋㅋㅋ안 쓰는 통장같은데 6억ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ멋지노ㅋㅋㅋㅋ,
1638,멋지노 ㅋㅋㅋㅋㅋㅋㅋ 정상에서만나자 말머리 앙망 보르텔 기업 꼭 성공해라이기 ,
1639,안쓰는 통장에 6억 있노ㅋㅋㅋㄲ재산 6969억 찍을년이노 야망 힘주고간다이기,
1640,왘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ안쓰는 돈이 6억이노??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ지잡대 나온 게 뭔 흠이겠노 자본주의사회에ㅋㅋㅋㅋㅋ존경한다 이기야,
1641,봊멋이노ㅋㅋㅋㅋㅋㅋㅋ,
1642,퍄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 야망이 샘솟노,
1643,이 시각 한남충들 6천원 가지고 점심 뭐 쳐먹을지 앵나 고민하다 봉구스 밥버거 쳐먹는 쀼젤 ㅈㅎㅌㅊ 새끼들 ㅋ,
1644,와 앱친년 진짜 도랏노 너련 글 보고 야망보지 자극 받겠노,
1645,6억 액나오게 멋있노 십억가자이기야,
1646,봊간지다 이기 기받고 가노,
1647,조팔ㅋㅋㅋㅋㅋㅋㅋ 내개비는 자댕이면서 왜 6억도 없냐 이기야 재기시켜도 6억 안 나오노 가성비 ㅈㅎㅌㅊ새끼 짜증나니까 패러간다 소소한 년은 워추야,
1648,앵나멋지노 ㅋㅋㅋㅋㅋㅋ,
1649,"봊멋이노 클리 힘주고 간다
보르텔 기업 개힘조",
1650,이년 사실 현금으로 69억 있으면서 왜 6억만 올렸노? 다 올려라 이기야,
1651,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ봊나 멋있는 년이노 이기이기ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나는 사업 구상중이노 5년안에 500억 통장잔고 만들어서 자지들 부랄 똑 떨어뜨려야겠노^좆^,
1652,봊멋이노 야망보지 더 힘줘야겠노,
1653,워친 ㅋㅋㅋㅋㅋㅋㅋ 6억은 통장에 묵혀놔야 소소한거노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제테크 힘주겠다 이기야,
1654,앵나오게 멋진 년 ㅋㅋㅋㅋㅋㅋㅋㅋ ,
1655,나도 현금 10억 놀고 있는 통장 만들어야겠노 보지 힘조,
1656,와 ㅋㅋㅋㅋㅋㅋ정상에서 보자이기,
1657,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개돌았놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웜년이 세상을 지배한다 이기얔ㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅌㅌ,
1658,봊간지노ㅋㅋㅋㅋㅋ 나도 힘주겠노,
1659,내 미래가 여기있노,
1660,보르텔 기업 꼭 들어가겠노 나중에 보자 이기야,
1661,앵나오게 능력 쌓아서 너가 만든 보르텔 기업 입사할거노 봊나 멋있는년,
1662,멋지노 보르텔 기업에서 일하고 싶다 이기야,
1663,봊나 멋있노 나도 앵나오게 힘줘서 곧 따라가겠다이니야,
1664,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 멋진년이다 이기야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한남들 자들자들 주작아니노 좆팔 하는 소리가 이까지 들리노,
1665,크으 믓찌다,
1666,와 진짜 멋지노 보지 힘주겠노 6천조 모으자,
1667,69억 가자이기ㅋㅋㄲㅋㄱ,
1668,봊나 멋있다 기업 크게 만들어서 1161.5배 더 벌어라이기 6969억 찍으라이기야!,
1669,봊간지노. 나도 클리 힘 딱주고 돈 많이 벌어서 보지카르텔 만들기모,
1670,봊멎이노. 지잡대를 나와도 역시 될년될이노. 학벌주의 심한 좆국에서 이렇게까지 성공하다니 꼭 본받아서 성공하겠노.,
1671,앱친 봊멋이다 이기 ,
1672,봊멋이노 보르텔 기업 응원한다 이니야. 능력 키우면서 기다리고 있겠노.,
1673,6억이 현금이라니 역시 될년이노 힘 얻어가노,
1674,ㅋㄱㅋㅋㅋ소소한 6억 봊멋이노,
1675,봊멋이노 5년안에 따라잡겠노,
1676,69억 가자 기 얻어간다 봊멎워추다 ,
1677,앵나오게 멋진년이노 69억 모아서 인증하겠노,
1678,봊멋이노 정상에서 보자 이기야,
1679,회계 공부하는 년인데 감사는 나한테 맡겨라이기,
1680,ㅋㅋㅋ,
1681,워친 벌써 자들대는 소리 들리노 ㅋㅋㅋㅋㅋ 봊멋이노 이기,
1682,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1683,봊간지 장난아니다,
1684,봊나 멋지노 ㅋㅋㅋㅋㅋㅋ 아니 소소하다니 야망 큰 보지노,
1685,노는통장 6억. 참으로 봊멋이다!,
1686,놈딱 멋지노 나도 언젠가는 꼭 인증하겠노,
1687,봊멋이노 따라간다 이기야,
1688,성림 기받아간다이기,
1689,봊나 멋진년이노ㅋㅋㅋㅋㅋㅋ 정상에서 보자,
1690,봊나게 기다리고 있겠다 이니야,
1691,봊나 멋있노 나도 여성만 채용하는 보르텔 기업 만드는게 꿈이다이기야 나중에 꼭 책써줘라 본받겠다이기,
1692,FUCK YOU,
1693,봊멋이노,
1694,봊멋이노,
1695,봊간지난다이기얔ㅋㅋㅋㅋㅋㅋㅋㅋ 야망보지는 무조건 워추다이기,
1696,와 ㄹㅇ 개오지노 봊멋이다이기,
1697,내 목표는 69조 달러노 딱 기다려보라이기 반드시 성공할거노,
1698,"봇지노ㅓ
",
1699,봊멋이노,
1700,와ㅋㅋㅋㅋㄱㅋㅋ6억ㅋㄱㄱㅋㅋㄱㄱㅋ대단하노,
1701,봊간지나노 ,
1702,기 받으러왔노,
1703,야 멋있노ㅋ 한남소추 떨어지겠다 이기야,
1704,제정신인 년들은 다 여기있노.. 설렌다 이기아ㅓ,
1705,봊멋이노 너 보고 봊잡고 가노이기 여자답게 50억은 모아야겠노 나 하나의 생활 편의를 위해 그 정도는 있어야겠노,
1706,6억 멋지노 곧 따라가겠노,
1707,다음은 내가 저 숫자 찍는다이기 곧이다 곧,
1708,므찌다,
1709,앱친년이노ㅋㅋㅋㅋㅋㅋㅋ 통큰거 봐라이기,
1710,봊간지노.,
1711,봊멋이다,
1712,멋지노 ... 나는 언제 모으냐이기 ㅠ,
1713,간지난다 이기,
1714,소소하게 6억ㅋㅋㅋㅋㅋㅋㅋ 관잦놈들 안그래도 없는 소추 쪼그라들어서 뒤집어지겠노ㅋㅋㅋㅋㅋ,
1715,ㅋㅋㅋㅋㅋㅌ봊간지놐ㅋㅋㅋㅋㅋㅋㅋ,
1716,"6억으로 개쳐맞을년
",
1717,앵나오놐ㅋㅋㅋㅋㅋㅋㅋㅋ역시 웜년들은 ㅇㅈ도 급이 다르다 이기야ㅋㅋㅋㅋ,
1718,크 봊멋이노ㅋㅋㅋㅋㅋㅋㅋㅋ,
1719,보스펙틐ㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ지리노 ,
1720,멋진년이노 자극받는다 이기,
1721,어디서 버튼좆들 자들자들 거리는소리 안들리노?이거본 좆놈들 전부 자극받고 다 재기하러갔노,
1722,능력 좋노 ,
1723,봊간지 터지노ㅋㅋㅋㄱㅋㄱㅋㅋㅋㄱㅋ 자지들 자들거리는 소리 여기까지 들리노,
1724,와 봊나 멋지노 나년도 반성하고 현생 멋지게 살겠다 이니,
1725,앱친 봊나멋지노,
1726,이년아 얼른 69억 만들어라이기야,
1727,나도 69억 찍을거노,
1728,봊나 멋있노ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1729,정상에서 보자 이기야,
1730,앱친 봊나멋지노,
1731,200충들 거품물고 쓰러지겠노 ㅋ,
1732,와...봊멋...,
1733,봊간지노 이년아 정상에서 보자,
1734,혐애 망혼 코르셋 등등 웜에서 하지않는 것만 따라해도 돈 금방 모이더노. 야망 힘줘서 따라가겠다이니야. ,
1735,보지는 재력이노^^ ,
1736,봊간지노,
1737,대단한년이노 멋있노,
1738,이년 체크카드로 집도 살수 있겠노 껄껄,
1739,보르텔기업 기다리겠노. 야망보지 되어 만나자 이기야,
1740,보르텔기업 좀 세워주라 이기,
1741,와 너는 책내야한다이기 정말 존경하노,
1742,좆팔 인생 성공했노 뭘해도 될 년이다 이기 머가리가 띵하노 나도 자극받고 현생 힘준다 이기.,
1743,대단하노 봊멋이다 이기,
1744,봊멋이노 요즘 현생 힘주는거 힘들었는데 확 자극됬다이기야. 꼭 정상에서보자,
1745,봊나 멋지노 이년은 뭘해도 될년이노 대단하노 ,
1746,너 언젠가 책 한번 내라 기운 받고 간다,
1747,좆팔 앱충 옵충 다 뒤질 년이노. 정상에서 만나자 이년아,
1748,앱충옵충 가좆들 뒤지기 앙망하노 ,
1749,"봊멋지노. 반드시 정상에 오를 년이노. 요즘 나태해졌는데, 나도 이제 정신차리고 따라가겠다 이니.",
1750,봊멋이다 앵흘리고가노,
1751,봊멋이노 어딜가든 성공할 년이노 기받고간다이기,
1752,대단하다. 진짜 뭘 해도 될 년이노.,
1753,앞으로 승승장구할년이노 온우주가 나서서 널 도울거노 나도 응원한다이기야 너 뒤따라갈거노,
1754,인증글중에 너년이 최고다 너년이 최고야 제일멋지노,
